200g speed200
---
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=184329605), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[153, -10])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=217332248), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, 8])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=250329652), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[152, 52])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=283357903), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[151, 26])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=316326115), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, 33])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=349325625), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, 35])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=382353403), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, 43])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=415324268), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, 36])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=514332348), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[151, 17])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=613298695), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[151, 22])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=646311056), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, 3])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=712308696), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[152, 11])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=745342942), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, 7])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=811354863), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[152, 26])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=844343478), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[151, 12])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=877386321), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, 30])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=910373378), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[151, 49])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=943352485), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, 58])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510047, nanosec=976336771), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, 47])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510048, nanosec=9412353), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[151, 22])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510048, nanosec=42395699), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, 19])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510048, nanosec=75377919), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[151, 10])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717510048, nanosec=108313980), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[151, 36])
