100g speed50
---
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=493684370), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, -250])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=526685025), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[148, -282])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=559679388), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -268])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=592678194), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[148, -261])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=625683687), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, -270])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=658688401), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[147, -253])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=757675814), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[147, -264])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=856671965), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -253])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=892251304), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[148, -252])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=922728570), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -259])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=955670982), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[148, -278])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=988659379), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -255])
