coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=50914184), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -50])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=83934548), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -60])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=116935697), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -61])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=149903602), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -57])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=182939046), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, -45])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=215930823), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -59])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=248921234), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -40])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=314914843), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -36])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=347914454), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -45])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=413871036), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -36])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=446892368), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -48])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=512892839), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -64])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=545944574), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -79])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=578921089), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -83])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=611883644), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -87])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=644884534), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -73])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=677878991), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -58])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=710885391), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -54])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=743903745), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -55])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=776915784), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -75])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=809907856), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -65])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=842904197), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -58])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=875897094), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, -54])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=908896498), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -61])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=974854690), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -47])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=7883540), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -51])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=73871959), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -62])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=106876843), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -61])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=172868527), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -60])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=205857172), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -63])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=271862602), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -49])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=304872378), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -55])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=337841121), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -61])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=370872912), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -65])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=403879057), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, -53])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=436881846), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -41])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=469840932), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -35])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=502866382), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -43])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=535865368), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -67])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=568864969), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -73])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=601834714), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -66])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=634832674), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -69])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=667857420), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -76])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=733810463), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -73])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=766844080), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -73])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=832845068), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, -51])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=865845421), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -38])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=931827463), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -56])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646174, nanosec=964833473), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -68])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=30821531), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -40])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=63840004), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -61])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=96836350), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1997, -73])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=129807825), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -61])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=162807448), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -57])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=195889093), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -61])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=228835035), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -68])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=261832431), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -65])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=294829657), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -59])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=327825603), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -53])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=393772819), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -61])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=426798862), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, -69])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=492801615), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -66])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=525780099), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -50])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=591793025), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -54])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=624821655), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -71])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=690791586), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -49])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=723799862), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -36])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=756800887), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -51])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=789796458), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -62])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=822807829), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -60])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=855799905), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1997, -72])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=888799863), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -63])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=921767154), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -59])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=954795742), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -80])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646175, nanosec=987792743), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -79])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=20799281), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -60])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=53766658), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -49])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=86782868), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -56])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=152780152), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -67])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=185776023), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -50])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=251772370), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1997, -56])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=284770699), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -64])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=350768612), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -79])
