coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512456, nanosec=689951637), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 712])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512456, nanosec=722970955), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 686])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512456, nanosec=755904374), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 668])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512456, nanosec=788980035), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 679])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512456, nanosec=821989570), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 677])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512456, nanosec=854976982), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 664])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512456, nanosec=888015728), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 676])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512456, nanosec=921036057), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 685])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512456, nanosec=954011087), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 657])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=20053767), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 691])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=53074974), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 688])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=119175822), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 698])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=152149408), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 681])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=218175815), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 683])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=251168942), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 685])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=284220518), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 676])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=317203734), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 690])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=350193192), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 687])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=383202940), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 664])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=416204297), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 668])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=449213459), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 681])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=482242175), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 672])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=515198271), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 704])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=548211828), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 709])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=581213365), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 688])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=614265550), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 678])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=680223331), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 663])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=713274922), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 681])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=779258695), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 700])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=812306958), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 695])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=878281335), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 687])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=911341976), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 685])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=944354370), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 690])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512457, nanosec=977336847), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 669])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=10351686), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 685])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=43355337), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 665])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=76401817), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 679])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=109392004), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 678])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=142444868), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 669])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=175448051), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 680])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=208402766), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 673])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=241452752), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 683])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=274433332), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 663])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=340466445), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 688])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=373472506), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 687])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=439455600), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 687])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=472490225), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 686])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=538557018), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 691])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=571577781), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, 670])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=604560672), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 677])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=637577222), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 694])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=670560179), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2001, 686])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=703585032), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1988, 658])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=736607156), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1983, 662])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=769617460), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1973, 643])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=802604683), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1967, 671])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=835622930), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1962, 654])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=901580579), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1948, 669])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512458, nanosec=934644117), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1941, 681])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=629333), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1927, 654])
