timestamp,x6position_pose_rp[0],x6position_pose_rp[1],x6position_pose_rp[2],x6position_pose_rp[3],x6position_pose_rp[4],x6position_pose_rp[5],x6position_joints[0],x6position_joints[1],x6position_joints[2],x6position_joints[3],x6position_joints[4],x6position_joints[5],aimooe_coord_header.stamp.sec,aimooe_coord_header.stamp.nanosec,aimooe_coord_header.frame_id,aimooe_coord_position.x,aimooe_coord_position.y,aimooe_coord_position.z,aimooe_coord_orientation.x,aimooe_coord_orientation.y,aimooe_coord_orientation.z,aimooe_coord_mean_error
2026-01-13 16:45:24.174031,-0.00022644597629550844,-0.00040881699533201754,45.00144958496094,-0.0009084437042474747,0.0005655043059960008,-0.0010254851076751947,43.097999572753906,53.03900146484375,43.097999572753906,53.0369987487793,43.097999572753906,53.03799819946289,1768293924,128426628,X6-tool2,-0.1967041786316814,0.43843746669035916,44.72488036262667,-0.03797288217467314,-0.028368400037367517,0.024748099650404663,0.0680023804306984
2026-01-13 16:45:24.211548,-0.00022644597629550844,-0.00040881699533201754,45.00144958496094,-0.0009084437042474747,0.0005655043059960008,-0.0010254851076751947,43.097999572753906,53.03900146484375,43.097999572753906,53.0369987487793,43.097999572753906,53.03799819946289,1768293924,128426628,X6-tool2,-0.1967041786316814,0.43843746669035916,44.72488036262667,-0.03797288217467314,-0.028368400037367517,0.024748099650404663,0.0680023804306984
2026-01-13 16:45:24.246356,-0.00022644597629550844,-0.00040881699533201754,45.00144958496094,-0.0009084437042474747,0.0005655043059960008,-0.0010254851076751947,43.097999572753906,53.03900146484375,43.097999572753906,53.0369987487793,43.097999572753906,53.03799819946289,1768293924,228057804,X6-tool2,-0.2033272843051302,0.4347882263582267,44.68863891249153,-0.038274408369830065,-0.02821995779944562,0.02482705800232697,0.06941509246826172
2026-01-13 16:45:24.280831,-0.00022644597629550844,-0.00040881699533201754,45.00144958496094,-0.0009084437042474747,0.0005655043059960008,-0.0010254851076751947,43.097999572753906,53.03900146484375,43.097999572753906,53.0369987487793,43.097999572753906,53.03799819946289,1768293924,228057804,X6-tool2,-0.2033272843051302,0.4347882263582267,44.68863891249153,-0.038274408369830065,-0.02821995779944562,0.02482705800232697,0.06941509246826172
2026-01-13 16:45:24.315383,-0.00022644597629550844,-0.00040881699533201754,45.00144958496094,-0.0009084437042474747,0.0005655043059960008,-0.0010254851076751947,43.097999572753906,53.03900146484375,43.097999572753906,53.0369987487793,43.097999572753906,53.03799819946289,1768293924,228057804,X6-tool2,-0.2033272843051302,0.4347882263582267,44.68863891249153,-0.038274408369830065,-0.02821995779944562,0.02482705800232697,0.06941509246826172
2026-01-13 16:45:24.349820,-0.00022644597629550844,-0.00040881699533201754,45.00144958496094,-0.0009084437042474747,0.0005655043059960008,-0.0010254851076751947,43.097999572753906,53.03900146484375,43.09299850463867,53.0369987487793,43.097999572753906,53.03799819946289,1768293924,327288785,X6-tool2,-0.19083188904886517,0.40181007413588943,44.72687751305745,-0.03850914641640393,-0.028443338920760033,0.02472834964447114,0.06710433959960938
2026-01-13 16:45:24.384423,-0.00022644597629550844,-0.00040881699533201754,45.00144958496094,-0.0009084437042474747,0.0005655043059960008,-0.0010254851076751947,43.097999572753906,53.03900146484375,43.09299850463867,53.0369987487793,43.097999572753906,53.03799819946289,1768293924,327288785,X6-tool2,-0.19083188904886517,0.40181007413588943,44.72687751305745,-0.03850914641640393,-0.028443338920760033,0.02472834964447114,0.06710433959960938
2026-01-13 16:45:24.419514,-0.00022644597629550844,-0.00040881699533201754,45.00144958496094,-0.0009084437042474747,0.0005655043059960008,-0.0010254851076751947,43.097999572753906,53.03900146484375,43.09299850463867,53.0369987487793,43.097999572753906,53.03799819946289,1768293924,327288785,X6-tool2,-0.19083188904886517,0.40181007413588943,44.72687751305745,-0.03850914641640393,-0.028443338920760033,0.02472834964447114,0.06710433959960938
2026-01-13 16:45:24.454160,-0.00022644597629550844,-0.00040881699533201754,45.00144958496094,-0.0009084437042474747,0.0005655043059960008,-0.0010254851076751947,43.097999572753906,53.03900146484375,43.09299850463867,53.0369987487793,43.097999572753906,53.03799819946289,1768293924,427148959,X6-tool2,-0.16459205616569772,0.4516590584143808,44.70985937355032,-0.037775845895812316,-0.028902291373224087,0.024787643922474314,0.07540035247802734
2026-01-13 16:45:24.488936,-0.00022644597629550844,-0.00040881699533201754,45.00144958496094,-0.0009084437042474747,0.0005655043059960008,-0.0010254851076751947,43.097999572753906,53.03900146484375,43.09299850463867,53.0369987487793,43.097999572753906,53.03799819946289,1768293924,427148959,X6-tool2,-0.16459205616569772,0.4516590584143808,44.70985937355032,-0.037775845895812316,-0.028902291373224087,0.024787643922474314,0.07540035247802734
