timestamp,out_1_header.stamp.sec,out_1_header.stamp.nanosec,out_1_header.frame_id,out_1_val,out_1_speed,out_2_header.stamp.sec,out_2_header.stamp.nanosec,out_2_header.frame_id,out_2_val,out_2_speed,out_3_header.stamp.sec,out_3_header.stamp.nanosec,out_3_header.frame_id,out_3_val,out_3_speed,out_4_header.stamp.sec,out_4_header.stamp.nanosec,out_4_header.frame_id,out_4_val,out_4_speed,out_5_header.stamp.sec,out_5_header.stamp.nanosec,out_5_header.frame_id,out_5_val,out_5_speed,out_6_header.stamp.sec,out_6_header.stamp.nanosec,out_6_header.frame_id,out_6_val,out_6_speed,x6position_pose_rp[0],x6position_pose_rp[1],x6position_pose_rp[2],x6position_pose_rp[3],x6position_pose_rp[4],x6position_pose_rp[5],x6position_joints[0],x6position_joints[1],x6position_joints[2],x6position_joints[3],x6position_joints[4],x6position_joints[5],aimooe_coord_header.stamp.sec,aimooe_coord_header.stamp.nanosec,aimooe_coord_header.frame_id,aimooe_coord_position.x,aimooe_coord_position.y,aimooe_coord_position.z,aimooe_coord_orientation.x,aimooe_coord_orientation.y,aimooe_coord_orientation.z,aimooe_coord_mean_error
2025-12-23 16:54:02.859732,1766480042,840655816,1,149293,0,1766480042,857304024,2,147349,0,1766480042,853989179,3,139296,0,1766480042,850640522,4,178923,0,1766480042,847322158,5,198869,0,1766480042,843984162,6,143163,0,0.0002498831890989095,5.771531581878662,45.00300979614258,-0.0013746152399107814,0.0005339283961802721,-0.0007056679460220039,36.67900085449219,41.10499954223633,57.15299987792969,61.42300033569336,45.79800033569336,64.14800262451172,1766480042,776427384,X6-tool2,-0.6298759373375549,4.201438755761435,43.34710963831289,0.008150940564878518,0.134904983385203,-0.24915847278920178,0.06417783349752426
2025-12-23 16:54:02.895750,1766480042,880659125,1,149293,0,1766480042,877344200,2,147349,0,1766480042,893986497,3,139296,0,1766480042,890650941,4,178923,0,1766480042,887315835,5,198869,0,1766480042,884009841,6,143163,0,0.0002498831890989095,5.771531581878662,45.00300979614258,-0.0013746152399107814,0.0005339283961802721,-0.0007056679460220039,36.67900085449219,41.10499954223633,57.15299987792969,61.42300033569336,45.79800033569336,64.14800262451172,1766480042,876069542,X6-tool2,-0.60767430075666,4.211352801803419,43.4012860795595,0.008462545575320547,0.13507928165916153,-0.24916622575482683,0.06152184680104256
2025-12-23 16:54:02.931480,1766480042,920659433,1,149293,0,1766480042,917333097,2,147349,0,1766480042,913997561,3,139296,0,1766480042,930643949,4,178923,0,1766480042,927346995,5,198869,0,1766480042,923973878,6,143163,0,0.0002498831890989095,5.771531581878662,45.00300979614258,-0.0013746152399107814,0.0005339283961802721,-0.0007056679460220039,36.67900085449219,41.10499954223633,57.15299987792969,61.42300033569336,45.79800033569336,64.14800262451172,1766480042,876069542,X6-tool2,-0.60767430075666,4.211352801803419,43.4012860795595,0.008462545575320547,0.13507928165916153,-0.24916622575482683,0.06152184680104256
2025-12-23 16:54:02.967836,1766480042,960682042,1,149293,0,1766480042,957339856,2,147349,0,1766480042,954010980,3,139296,0,1766480042,950681315,4,178923,0,1766480042,967363034,5,198869,0,1766480042,963991287,6,143163,0,0.0002498831890989095,5.771531581878662,45.00300979614258,-0.0013746152399107814,0.0005339283961802721,-0.0007056679460220039,36.67900085449219,41.10499954223633,57.15299987792969,61.42300033569336,45.79800033569336,64.14800262451172,1766480042,876069542,X6-tool2,-0.60767430075666,4.211352801803419,43.4012860795595,0.008462545575320547,0.13507928165916153,-0.24916622575482683,0.06152184680104256
2025-12-23 16:54:03.003451,1766480043,663780,1,149293,0,1766480042,997354175,2,147349,0,1766480042,994011149,3,139296,0,1766480042,990636392,4,178923,0,1766480042,987325927,5,198869,0,1766480042,984068924,6,143163,0,0.0002498831890989095,5.771531581878662,45.00300979614258,-0.0013746152399107814,0.0005339283961802721,-0.0007056679460220039,36.67900085449219,41.10499954223633,57.15299987792969,61.42300033569336,45.79800033569336,64.14800262451172,1766480042,975482500,X6-tool2,-0.6358883471582346,4.259713106632827,43.404640215504074,0.008312012665545472,0.13549071616229647,-0.24909446016403355,0.06210136413574219
2025-12-23 16:54:03.039957,1766480043,20661164,1,149293,0,1766480043,37308302,2,147349,0,1766480043,33996617,3,139296,0,1766480043,30645590,4,178923,0,1766480043,27338725,5,198869,0,1766480043,23978559,6,143163,0,0.0002498831890989095,5.771531581878662,45.00300979614258,-0.0013746152399107814,0.0005339283961802721,-0.0007056679460220039,36.67900085449219,41.10499954223633,57.15299987792969,61.42300033569336,45.79800033569336,64.14800262451172,1766480042,975482500,X6-tool2,-0.6358883471582346,4.259713106632827,43.404640215504074,0.008312012665545472,0.13549071616229647,-0.24909446016403355,0.06210136413574219
2025-12-23 16:54:03.075756,1766480043,60647292,1,149293,0,1766480043,57314296,2,147349,0,1766480043,73976855,3,139296,0,1766480043,70639358,4,178923,0,1766480043,67307623,5,198869,0,1766480043,63994338,6,143163,0,0.0002498831890989095,5.771531581878662,45.00300979614258,-0.0013746152399107814,0.0005339283961802721,-0.0007056679460220039,36.67900085449219,41.10499954223633,57.15299987792969,61.42300033569336,45.79800033569336,64.14800262451172,1766480042,975482500,X6-tool2,-0.6358883471582346,4.259713106632827,43.404640215504074,0.008312012665545472,0.13549071616229647,-0.24909446016403355,0.06210136413574219
2025-12-23 16:54:03.112091,1766480043,100640160,1,149293,0,1766480043,97320915,2,147349,0,1766480043,94021730,3,139296,0,1766480043,110598845,4,178923,0,1766480043,107332002,5,198869,0,1766480043,103973086,6,143163,0,0.0002498831890989095,5.771531581878662,45.00300979614258,-0.0013746152399107814,0.0005339283961802721,-0.0007056679460220039,36.67900085449219,41.10499954223633,57.15299987792969,61.42300033569336,45.79800033569336,64.14800262451172,1766480043,74972992,X6-tool2,-0.5795505784747188,4.241084747389646,43.45091601781321,0.008257519884570146,0.13521743323225954,-0.24916430828688915,0.06492868810892105
2025-12-23 16:54:03.147814,1766480043,140642098,1,149293,0,1766480043,137303332,2,147349,0,1766480043,133984827,3,139296,0,1766480043,130645211,4,178923,0,1766480043,147305469,5,198869,0,1766480043,143973353,6,143163,0,0.0002498831890989095,5.771531581878662,45.00300979614258,-0.0013746152399107814,0.0005339283961802721,-0.0007056679460220039,36.67900085449219,41.10499954223633,57.15299987792969,61.42300033569336,45.79800033569336,64.14800262451172,1766480043,74972992,X6-tool2,-0.5795505784747188,4.241084747389646,43.45091601781321,0.008257519884570146,0.13521743323225954,-0.24916430828688915,0.06492868810892105
2025-12-23 16:54:03.183465,1766480043,180697938,1,149293,0,1766480043,177313700,2,147349,0,1766480043,173978025,3,139296,0,1766480043,170688831,4,178923,0,1766480043,167305104,5,198869,0,1766480043,163987678,6,143163,0,0.0002498831890989095,5.771531581878662,45.00300979614258,-0.0013746152399107814,0.0005339283961802721,-0.0007056679460220039,36.67900085449219,41.10499954223633,57.15299987792969,61.42300033569336,45.79800033569336,64.14800262451172,1766480043,174759874,X6-tool2,-0.6138174465958061,4.224766095246028,43.3961361771849,0.00822243632014713,0.13479422164596827,-0.24913037405242613,0.07035414129495621
