65,65,65
71.56,31.02,70.28
65,65,65
78.19,33.99,60.79
65,65,65
83,38.36,49.92
65,65,65
85.28,44.02,40.25
65,65,65
84.78,50.75,33.42
65,65,65
81.61,58.43,30.24
65,65,65
75.6,66.39,29.93
65,65,65
67.26,73.96,31.84
65,65,65
57.49,79.94,35.25
65,65,65
46.47,84.04,40.1
65,65,65
37.58,85.42,46.14
65,65,65
32.11,84.12,53.15
65,65,65
29.97,80.09,60.87
65,65,65
30.36,73.08,69.01
65,65,65
32.85,64.04,76.21
65,65,65
36.75,53.47,81.67
65,65,65
42.02,43.26,84.84
65,65,65
48.39,35.29,85.25
65,65,65
55.82,30.93,82.99
65,65,65
63.73,29.74,77.87
