65,65,65
55,65,75
45,60,75
55,65,75
60,75,45
55,65,75
75,45,60
55,65,75
50,65,80
55,65,75
65,80,50
55,65,75
80,50,65
55,65,75
30,55,80
55,65,75
55,80,30
55,65,75
80,30,55
55,65,75
65,65,65
65,75,55
45,60,75
65,75,55
60,75,45
65,75,55
75,45,60
65,75,55
50,65,80
65,75,55
65,80,50
65,75,55
80,50,65
65,75,55
30,55,80
65,75,55
55,80,30
65,75,55
80,30,55
65,75,55
65,65,65
75,55,65
45,60,75
75,55,65
60,75,45
75,55,65
75,45,60
75,55,65
50,65,80
75,55,65
65,80,50
75,55,65
80,50,65
75,55,65
30,55,80
75,55,65
55,80,30
75,55,65
80,30,55
75,55,65
