Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.034581,-0.00043078,0.023172,0,0,0,0.16294,8.2272E-05,1.0781E-07,4.4428E-09,0.00010387,-6.2567E-08,0.00014474,0,0,0,0,0,0,package://asm_description/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://asm_description/meshes/base_link.STL,base_link_material,0909-深度相机-D435i.step-1;碳板-ur5新.step-1;CL-ZJURUSG4-SRI-M3733C.step-1;子装配体-128探头夹具新.STEP-1/碳板-夹具传感器连接固定板.STEP-1;子装配体-128探头夹具新.STEP-1/机加件-pich轴摆杆.STEP-2;子装配体-128探头夹具新.STEP-1/机加件-pich轴摆杆.STEP-1,机械臂法兰坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tool_link1,-0.00057962,-0.00051221,-0.0055231,0,0,0,0.099171,6.8128E-05,-8.4374E-08,3.0296E-14,5.472E-05,4.5685E-12,3.1648E-05,0,0,0,0,0,0,package://asm_description/meshes/tool_link1.STL,0.43137,0.45098,0.43137,1,0,0,0,0,0,0,package://asm_description/meshes/tool_link1.STL,tool_link1_material,子装配体-128探头夹具新.STEP-1/机加件-pich轴转动支座.STEP-2;子装配体-128探头夹具新.STEP-1/碳板-新外自适应框架板件2.STEP-3;子装配体-128探头夹具新.STEP-1/碳板-新外自适应框架板件2.STEP-4;子装配体-128探头夹具新.STEP-1/碳板-新外自适应框架板件2.STEP-5;子装配体-128探头夹具新.STEP-1/碳板-新外自适应框架板件2.STEP-2;子装配体-128探头夹具新.STEP-1/Mirror机加件-roll轴避震连接摆杆.STEP-1;子装配体-128探头夹具新.STEP-1/机加件-roll轴避震连接摆杆.STEP-1;子装配体-128探头夹具新.STEP-1/Mirror标准件-6630直角连接件.STEP-3;子装配体-128探头夹具新.STEP-1/Mirror标准件-6630直角连接件.STEP-4;子装配体-128探头夹具新.STEP-1/Mirror标准件-6630直角连接件.STEP-1;子装配体-128探头夹具新.STEP-1/Mirror标准件-6630直角连接件.STEP-2;子装配体-128探头夹具新.STEP-1/标准件-6630直角连接件.STEP-2;子装配体-128探头夹具新.STEP-1/标准件-6630直角连接件.STEP-1;子装配体-128探头夹具新.STEP-1/标准件-6630直角连接件.STEP-4;子装配体-128探头夹具新.STEP-1/标准件-6630直角连接件.STEP-3;子装配体-128探头夹具新.STEP-1/碳板-新外自适应框架板件1.STEP-1;子装配体-128探头夹具新.STEP-1/碳板-新外自适应框架板件2.STEP-1;子装配体-128探头夹具新.STEP-1/机加件-pich轴转动支座.STEP-1,link1_frame,joint1_axis,tool_joint1,revolute,0,0,0.098,0,0,0,base_link,0,-1,0,20,0.5,-3.1416,3.1416,,,10,10,,,,
tool_link2,-0.0004339,0.00018809,-0.002683,0,0,0,0.31013,0.00075589,4.0173E-07,-5.4911E-08,0.00023419,1.1979E-05,0.0008144,0,0,0,0,0,0,package://asm_description/meshes/tool_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://asm_description/meshes/tool_link2.STL,tool_link2_material,子装配体-128探头夹具新.STEP-1/Olympus_array128.STEP-1;子装配体-128探头夹具新.STEP-1/机加件-夹具密封上盖板.STEP-1;子装配体-128探头夹具新.STEP-1/机加件-夹具水路覆盖板.STEP-1;子装配体-128探头夹具新.STEP-1/外发件-防水海绵2.STEP-1;子装配体-128探头夹具新.STEP-1/外发件-防水海绵.STEP-1;子装配体-128探头夹具新.STEP-1/标准件-M5X8机米滚珠螺丝.STEP-2;子装配体-128探头夹具新.STEP-1/标准件-M5X8机米滚珠螺丝.STEP-3;子装配体-128探头夹具新.STEP-1/标准件-M5X8机米滚珠螺丝.STEP-1;子装配体-128探头夹具新.STEP-1/标准件-M5X8机米滚珠螺丝.STEP-4;子装配体-128探头夹具新.STEP-1/标准件-M5X8机米滚珠螺丝.STEP-5;子装配体-128探头夹具新.STEP-1/标准件-M5X8机米滚珠螺丝.STEP-6;子装配体-128探头夹具新.STEP-1/标准件-M5X8机米滚珠螺丝.STEP-7;子装配体-128探头夹具新.STEP-1/标准件-M5X8机米滚珠螺丝.STEP-8;子装配体-128探头夹具新.STEP-1/机加件-128探头固定主夹具.STEP-1,link2_frame,joint2_axis,tool_joint2,revolute,0,0,0.0495,0,0,0,tool_link1,1,0,0,20,0.5,-3.1416,3.1416,,,10,10,,,,
