timestamp,forcesensor_header.stamp.sec,forcesensor_header.stamp.nanosec,forcesensor_header.frame_id,forcesensor_x_axis,forcesensor_y_axis,forcesensor_z_axis,dg_state_header.stamp.sec,dg_state_header.stamp.nanosec,dg_state_header.frame_id,dg_state_n,dg_state_m,dg_state_gamma,dg_state_lin
2025-12-17 21:20:58.968782,1765977658,964462428,base_frame,0.018952766433358192,0.011368494480848312,-0.05272238701581955,1765977658,965217267,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:58.989836,1765977658,984466454,base_frame,0.0001653330255066976,0.0005169687210582197,-0.05207977816462517,1765977658,985636503,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.010936,1765977659,4462701,base_frame,0.00016248640895355493,-0.0211504939943552,-0.05236828327178955,1765977659,6020625,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.031921,1765977659,24463396,base_frame,-2.8466167805163423e-06,-0.021667461842298508,-0.00028850746457464993,1765977659,26426436,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.052829,1765977659,44460612,base_frame,0.0,0.0,0.0,1765977659,46825809,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.073753,1765977659,64461678,base_frame,0.0,0.0,0.0,1765977659,67226912,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.094863,1765977659,94461592,base_frame,-0.000647944223601371,6.53901361147291e-06,-0.05191011726856232,1765977659,87626691,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.115754,1765977659,114460361,base_frame,0.0,0.0,0.0,1765977659,108022369,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.136650,1765977659,134459119,base_frame,0.0,0.0,0.0,1765977659,128423434,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.157626,1765977659,154461461,base_frame,0.018952766433358192,0.011368494480848312,-0.05272238701581955,1765977659,148768433,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.178536,1765977659,174460426,base_frame,0.018661903217434883,-0.011171173304319382,-0.10609007626771927,1765977659,169162212,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.199453,1765977659,194461283,base_frame,0.018661903217434883,-0.011171173304319382,-0.10609007626771927,1765977659,189564401,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.220587,1765977659,214461958,base_frame,0.018661903217434883,-0.011171173304319382,-0.10609007626771927,1765977659,220158842,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.241503,1765977659,234453769,base_frame,0.018664749339222908,0.0104962894693017,-0.10580156743526459,1765977659,240723343,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.262620,1765977659,254452728,base_frame,0.018787432461977005,0.010851525701582432,-0.0006426100153476,1765977659,261300983,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.283835,1765977659,274443313,base_frame,0.01878458634018898,-0.01081593707203865,-0.0009311174508184195,1765977659,281872027,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.305014,1765977659,304484464,base_frame,0.01894991844892502,-0.01029896829277277,-0.05301089584827423,1765977659,302455047,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.326177,1765977659,324443346,base_frame,0.00016248640895355493,-0.0211504939943552,-0.05236828327178955,1765977659,323121239,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.347346,1765977659,344433520,base_frame,0.0001653330255066976,0.0005169687210582197,-0.05207977816462517,1765977659,343717142,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.368535,1765977659,364480321,base_frame,-2.8466167805163423e-06,-0.021667461842298508,-0.00028850746457464993,1765977659,364243344,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.389731,1765977659,384448057,base_frame,0.018787432461977005,0.010851525701582432,-0.0006426100153476,1765977659,385310895,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.410893,1765977659,404450627,base_frame,0.018787432461977005,0.010851525701582432,-0.0006426100153476,1765977659,405855487,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.432046,1765977659,424450665,base_frame,-0.019254928454756737,0.011036613024771214,-0.0003026587364729494,1765977659,426338980,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.453312,1765977659,444569045,base_frame,-0.01908959448337555,0.011553581804037094,-0.05238243564963341,1765977659,446859387,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.474463,1765977659,464445677,base_frame,0.018952766433358192,0.011368494480848312,-0.05272238701581955,1765977659,467334760,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.495639,1765977659,494435205,base_frame,0.019435375928878784,0.010844986885786057,0.051267508417367935,1765977659,487768004,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.516815,1765977659,514450432,base_frame,0.0,0.0,0.0,1765977659,508278512,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.537963,1765977659,534446350,base_frame,0.0,0.0,0.0,1765977659,528820849,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.559137,1765977659,554446045,base_frame,0.0001653330255066976,0.0005169687210582197,-0.05207977816462517,1765977659,549360395,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.580364,1765977659,574433608,base_frame,0.0,0.0,0.0,1765977659,580035879,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.601497,1765977659,594431044,base_frame,0.018787432461977005,0.010851525701582432,-0.0006426100153476,1765977659,600500691,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.622535,1765977659,614433963,base_frame,0.018787432461977005,0.010851525701582432,-0.0006426100153476,1765977659,620932887,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.643582,1765977659,634441034,base_frame,0.018787432461977005,0.010851525701582432,-0.0006426100153476,1765977659,641365553,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.664694,1765977659,664433241,base_frame,0.018667597323656082,0.032163750380277634,-0.1055130586028099,1765977659,661835116,,54.35841404764024,48.9440796139788,111.16457509551444,50.800111111111114
2025-12-17 21:20:59.685767,1765977659,684433688,base_frame,0.03733804076910019,0.08599496632814407,-0.21073761582374573,1765977659,682237367,,,,,-26897.923555555553
2025-12-17 21:20:59.706816,1765977659,704461435,base_frame,0.03750337287783623,0.08651193231344223,-0.2628173828125,1765977659,702661042,,,,,-26897.923555555553
2025-12-17 21:20:59.727822,1765977659,724462878,base_frame,0.018293941393494606,0.1193777397274971,-0.42007026076316833,1765977659,723045140,,,,,-26897.923555555553
2025-12-17 21:20:59.748926,1765977659,744462311,base_frame,0.03646096587181091,0.10903290659189224,-0.7329063415527344,1765977659,743451609,,54.39197355808309,48.47765727196713,110.72977921151758,50.656222222222226
2025-12-17 21:20:59.769922,1765977659,764432104,base_frame,0.09241083264350891,0.12106982618570328,-1.2563461065292358,1765977659,763816306,,54.39197355808309,48.47765727196713,110.72977921151758,50.656222222222226
2025-12-17 21:20:59.790873,1765977659,784432856,base_frame,0.18596024811267853,0.1119394302368164,-2.0416431427001953,1765977659,784221733,,54.43343170933026,47.897170643780775,110.18903846077342,50.477777777777774
2025-12-17 21:20:59.811864,1765977659,804461318,base_frame,0.2978864014148712,0.11243312805891037,-2.985820770263672,1765977659,804629914,,54.43343170933026,47.897170643780775,110.18903846077342,50.477777777777774
2025-12-17 21:20:59.832820,1765977659,824462025,base_frame,0.4483054280281067,0.09246344864368439,-3.9296274185180664,1765977659,825002421,,54.43343170933026,47.897170643780775,110.18903846077342,50.477777777777774
2025-12-17 21:20:59.853767,1765977659,844461436,base_frame,0.6174967885017395,0.06198066100478172,-4.977121353149414,1765977659,845402793,,54.4909340142927,47.084147017691805,109.43232547608574,50.229
