0.0306906,-0.0213664,0.192435,-0.0160737,0.998255,-0.0280129,-0.0494439
0.0295269,-0.0279676,0.213303,0.197834,0.978753,-0.0268934,-0.0467022
0.059782,-0.0372319,0.230854,0.641051,0.765516,-0.0544326,-0.00869574
0.060379,-0.0310009,0.269687,0.637533,0.760668,-0.0936189,0.0785584
0.0537615,-0.0293756,0.189345,0.667668,0.712536,0.131799,-0.170707
0.0749874,0.0334298,0.27124,-0.344661,0.925439,-0.0859658,-0.131837
0.0974607,-0.024619,0.298718,-0.608412,0.780954,-0.072447,-0.121229
0.0705817,-0.0752258,0.332195,-0.283853,0.927035,-0.0747895,-0.233323
0.0209211,-0.0104495,0.309042,-0.0642918,0.990066,0.120119,0.0347526
0.0319546,-0.0375985,0.28449,-0.0819991,0.990965,-0.0488212,-0.0942378
0.0493841,0.0123092,0.320307,0.0386977,0.981554,-0.0199255,0.186165
-0.00414026,0.0141338,0.316031,0.0767547,0.956529,-0.125234,0.251948
0.0373642,-0.0455312,0.365084,-0.609007,0.767746,0.0592426,0.190175
-0.0575352,-0.0599333,0.352839,0.148692,0.960433,-0.0784361,-0.222051
