header.stamp,header.frame_id,cr7_pos,cr7_force,cr7_vel,topic
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=670805606)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=671277533)",,[ 0.01632827 -0.80493597  0.37882517 -2.98866648 -0.6938872  -1.60693674],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=681488226)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=681587730)",,[ 0.016329   -0.80494385  0.37882605 -2.98867274 -0.69384292 -1.60693274],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=691786552)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=691849874)",,[ 0.01632832 -0.80494617  0.3788261  -2.98867455 -0.69383012 -1.60693158],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=702050666)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=702101838)",,[ 0.01632801 -0.80494776  0.37882582 -2.98867517 -0.69382578 -1.60693119],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=712344162)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=712383143)",,[ 0.01632727 -0.80494715  0.3788258  -2.98867521 -0.69382546 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=722544674)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=722612797)",,[ 0.01632767 -0.80494609  0.37882709 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=732759207)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=732798108)",,[ 0.01632637 -0.80493701  0.37882651 -2.98866833 -0.69387413 -1.60693556],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=742979280)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=743012011)",,[ 0.01632557 -0.80493401  0.37882758 -2.98866599 -0.69389067 -1.60693706],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=753171552)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=753233554)",,[ 0.01632603 -0.80494149  0.37883163 -2.98867274 -0.69384292 -1.60693274],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=763430796)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=763472868)",,[ 0.01632782 -0.80494498  0.37883254 -2.98867504 -0.69382669 -1.60693127],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=773627538)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=773680260)",,[ 0.01632867 -0.80494611  0.37883043 -2.9886752  -0.69382553 -1.60693117],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=783864841)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=783899722)",,[ 0.01632895 -0.80494684  0.37882862 -2.98867521 -0.69382545 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=794053773)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=794077074)",,[ 0.01632773 -0.80494685  0.37882666 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=804211853)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=804249695)",,[ 0.01632742 -0.80494691  0.37882633 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=814387614)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=814425056)",,[ 0.01632744 -0.80494688  0.37882641 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=824563426)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=824604827)",,[ 0.01632784 -0.80494648  0.37882749 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=834761097)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=834792559)",,[ 0.0163273  -0.80494501  0.37882945 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=844945709)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=845022232)",,[ 0.01632727 -0.80494474  0.37883142 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=855250675)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=855315387)",,[ 0.01632753 -0.80494518  0.37883257 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=865514610)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=865544351)",,[ 0.01632766 -0.80494566  0.37883149 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=875665850)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=875699571)",,[ 0.01632823 -0.80494659  0.37882918 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=885857422)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=885933705)",,[ 0.01632777 -0.80494659  0.37882735 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=896070954)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=896117496)",,[ 0.01632771 -0.80494662  0.37882715 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=906279477)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=906305558)",,[ 0.01632733 -0.80494627  0.37882619 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=916420966)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=916451648)",,[ 0.01632752 -0.80494603  0.37882672 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=926597027)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=926632609)",,[ 0.01632745 -0.80494594  0.37882834 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=936760928)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=936795040)",,[ 0.01632733 -0.80494548  0.37882999 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=946979431)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=947017813)",,[ 0.01632701 -0.80494504  0.37883112 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=957172923)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=957205334)",,[ 0.0163278  -0.80494548  0.37883185 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=967345644)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=967393716)",,[ 0.01632777 -0.8049457   0.37883138 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=977540286)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=977588127)",,[ 0.01632781 -0.80494573  0.37882957 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=987741948)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=987794200)",,[ 0.01632796 -0.80494631  0.37882797 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=997946340)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=997986102)",,[ 0.01632714 -0.80494604  0.37882714 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=8139952)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=8171053)",,[ 0.01632704 -0.80494633  0.37882731 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=18306133)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=18359215)",,[ 0.01632723 -0.8049463   0.37882785 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=28550787)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=28605159)",,[ 0.01632745 -0.80494609  0.37882844 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=38805181)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=38845293)",,[ 0.01632791 -0.80494563  0.3788297  -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=49014274)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=49040435)",,[ 0.01632821 -0.80494534  0.37883051 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=59162844)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=59196245)",,[ 0.01632765 -0.80494517  0.37883086 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
