header.stamp,header.frame_id,cr7_pos,cr7_force,cr7_vel,topic
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=875195250)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=885317664)",,[-0.00226455 -0.6155444   0.37543827  2.23402576  0.59449823  0.86530452],[0. 0. 0. 0. 0. 0.],"[-7.32947345e-06  1.40819376e-06 -3.85684625e-05  8.96141518e-08
 -4.06649983e-08 -1.40766305e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=885348196)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=895478211)",,[-0.00226473 -0.6155445   0.37543837  2.23402559  0.59449854  0.86530399],[0. 0. 0. 0. 0. 0.],"[-2.98223327e-05 -1.34074307e-05 -2.32125891e-05  3.29588272e-08
 -2.70791979e-08 -1.14510694e-07]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=895501972)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=905627117)",,[-0.0022647  -0.6155444   0.37543827  2.23402586  0.59449842  0.86530446],[0. 0. 0. 0. 0. 0.],"[-2.08249305e-05  3.40752447e-06 -2.70786022e-05  5.04371619e-08
  1.94409262e-08 -1.81773219e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=905653968)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=915779323)",,[-0.00226455 -0.61554446  0.37543851  2.23402548  0.59449879  0.86530449],[0. 0. 0. 0. 0. 0.],"[ 1.26805042e-05 -1.07578208e-05  3.47077592e-05 -8.44335219e-08
  1.84235866e-08  3.24284347e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=915802994)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=925926889)",,[-0.00226455 -0.61554448  0.37543836  2.23402567  0.5944986   0.8653046 ],[0. 0. 0. 0. 0. 0.],"[ 3.66894453e-06 -4.48107768e-06 -6.92893483e-06  6.17649561e-09
  2.44430944e-09  7.48866528e-09]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=925955170)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=936086445)",,[-0.00226453 -0.61554447  0.37543836  2.23402565  0.59449848  0.86530479],[0. 0. 0. 0. 0. 0.],"[-9.26999242e-06 -5.95756638e-06 -7.32837502e-06  4.69587908e-09
  1.13881503e-09 -5.88095881e-09]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=936141737)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=946280623)",,[-0.00226408 -0.61554439  0.37543827  2.23402584  0.5944983   0.86530561],[0. 0. 0. 0. 0. 0.],"[ 2.83135858e-05  1.74630433e-05 -3.22610016e-05  6.95489415e-08
 -1.45961095e-09  4.43090449e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=946317254)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=956450069)",,[-0.00226394 -0.61554439  0.37543827  2.23402584  0.5944983   0.86530585],[0. 0. 0. 0. 0. 0.],"[ 1.94656028e-05  3.77653760e-06 -1.38072107e-05  2.56945653e-08
 -1.39065596e-08  1.33742959e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=956480000)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=966614476)",,[-0.00226379 -0.61554437  0.37543842  2.23402555  0.59449829  0.86530581],[0. 0. 0. 0. 0. 0.],"[ 2.19688688e-05  3.52805218e-06  3.00770152e-05 -4.52681846e-08
 -5.87432007e-08 -3.03196966e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=966647508)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=976793513)",,[-0.00226376 -0.61554437  0.37543827  2.23402572  0.59449798  0.86530611],[0. 0. 0. 0. 0. 0.],"[ 7.62588315e-06  4.46928939e-06 -3.22053084e-05  8.61153722e-08
 -5.52328524e-08  2.66746520e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=976816374)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=986951469)",,[-0.0022638  -0.61554435  0.37543841  2.23402573  0.59449831  0.86530621],[0. 0. 0. 0. 0. 0.],"[-1.41469177e-06  3.56666070e-06  1.79820196e-05 -1.00336278e-08
 -3.12256170e-08 -9.22677816e-09]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=986985131)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=997133587)",,[-0.00226376 -0.61554435  0.37543841  2.23402553  0.59449817  0.865306  ],[0. 0. 0. 0. 0. 0.],"[ 8.34745124e-06  1.12153704e-05 -2.72269934e-06  2.98342188e-08
 -6.55482891e-08  1.21011657e-09]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977996, nanosec=997166518)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=7886956)",,[-0.00226391 -0.61554435  0.37543841  2.23402553  0.59449817  0.86530576],[0. 0. 0. 0. 0. 0.],"[-3.34477085e-05  1.28520434e-06 -1.53610807e-05  3.83304368e-08
 -3.06214055e-08 -7.32196743e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=7921158)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=18069254)",,[-0.00226395 -0.61554435  0.37543841  2.23402573  0.59449831  0.86530597],[0. 0. 0. 0. 0. 0.],"[-2.31550601e-05  2.93612927e-07 -1.80282194e-05  3.78787151e-08
 -6.37393604e-09 -4.12885263e-08]",xmate_state
