7.40098,-86.7877,1334.79
7.36002,-86.8338,1334.97
7.40729,-86.8456,1334.79
7.40164,-86.805,1334.78
7.36808,-86.787,1334.68
7.36787,-86.8126,1334.73
7.418,-86.8213,1334.88
7.39992,-86.8035,1334.75
7.40069,-86.8193,1334.74
7.37347,-86.8078,1334.93
7.35422,-86.7929,1334.83
7.39714,-86.8043,1334.54
7.37808,-86.8119,1334.68
7.3807,-86.8091,1334.67
7.36208,-86.8129,1334.76
7.40468,-86.8074,1334.76
7.3942,-86.7877,1334.82
7.38003,-86.8029,1334.89
7.40176,-86.8037,1334.77
7.395,-86.7998,1334.75
7.38103,-86.8279,1334.82
7.38693,-86.7879,1334.67
7.39237,-86.7912,1334.84
