timestamp_sec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1782547723.428691,0.2879508925733626,0.5806596142192213,0.05829344062704438,0.7062153102002175,0.7079543953642856,0.007733199994560685,-0.0008410356968080017
1782547723.9998124,0.28806221706066126,0.5843038539787566,0.05839640410143747,0.6987335209771117,0.7153344290036737,0.00823359059137856,-0.00057387358368621
1782547724.9998388,0.2872840371636874,0.5924365065553812,0.05797194944426502,0.680492230545027,0.7327083982941123,0.008289966142549567,6.081517669973989e-05
1782547725.9998143,0.2864563429892665,0.6003205422866654,0.05791761358969193,0.6628721333599039,0.7486823525907681,0.008649836720138747,0.0006708641871640514
1782547726.9998481,0.2850886092943379,0.6087848179787696,0.057847867228422355,0.6437852596371607,0.765152281237996,0.009040469873828557,0.0008921292870516766
1782547727.999824,0.2833547116420167,0.6171533397596459,0.057754276239996,0.6242933757996032,0.7811396552646825,0.008713223549915744,0.001643058452278206
1782547728.9998946,0.28118681277669244,0.6256826988841773,0.057701994180659535,0.604414368887046,0.7966146009609895,0.009273305860213868,0.001566530261613152
1782547730.0000448,0.27854100817191174,0.6340700238306657,0.057752529202223415,0.5841429507641606,0.8115959284127189,0.00929675871915123,0.0016224468417576075
1782547730.9998844,0.27564917962373936,0.6423556652540052,0.057786624489925956,0.563511486755544,0.8260503143313662,0.009600846072300636,0.0018724962759952063
1782547731.99986,0.27215695636609605,0.6504796525625718,0.05773761249929403,0.5425256352638547,0.8399860810114786,0.009322408105276942,0.001552899110487343
1782547732.9998202,0.2686752562795728,0.6579470673431203,0.05754661077300975,0.5223997371689257,0.8526404476862476,0.00994102151427423,0.001989388470198667
1782547733.9997792,0.26439697395231093,0.665791011007164,0.05742900754304851,0.5007015719435214,0.8655598591704173,0.010031080451130213,0.001855659224364673
1782547734.9998617,0.2599771806836152,0.6732775278657961,0.05741988281007458,0.47872588858044296,0.8779029387237933,0.010190578340811138,0.002026301081444858
1782547735.999848,0.2550279150214704,0.6805979006014052,0.057346701667385744,0.45646490585495153,0.8896793414729137,0.01031021958355805,0.00203922811171117
1782547736.9998586,0.24978626493826878,0.6876532400217438,0.05740348873257538,0.43394822137422706,0.9008763005025175,0.01034189738800769,0.001969141299774349
1782547737.999846,0.24416482903625775,0.6945744976544075,0.05734071188995636,0.4110506651034699,0.9115469674947695,0.010736625012941016,0.0020497932618235752
1782547738.9998524,0.23831187367051415,0.7009525642813657,0.057127920944449365,0.38795953777502684,0.9216116902683483,0.01071357998939175,0.0021233496924639417
1782547739.999817,0.2324111048057374,0.7067185921038522,0.05689456779823414,0.36593418362663466,0.9305814339554777,0.010334432164601035,0.0018887939831111575
1782547740.9998436,0.2258852712702803,0.7126238222702322,0.0568280986957921,0.3423780730523912,0.939498123045965,0.010781168413171019,0.002073232665957261
1782547741.9998605,0.21900948881049082,0.7181566354974892,0.056804573025853636,0.3186140156914644,0.9478196401496599,0.010898601863768023,0.002063789946568468
1782547742.9998178,0.21191903804209616,0.7234911523616245,0.05684149485773961,0.29460252799264064,0.9555502058819262,0.011374196670452082,0.0019447851952964668
1782547743.999873,0.20456526620589938,0.7283032890439256,0.0566460187393887,0.27047257525789575,0.9626591920078771,0.01130975452288943,0.0019888511093665217
1782547744.9999125,0.1969658579600117,0.7327621054233634,0.0565293217214836,0.24612124537135152,0.9691696863170574,0.011442437251873284,0.0018767873317738137
1782547745.999878,0.18917208753357218,0.7368176445809118,0.05633639689526897,0.22163684750707804,0.9750591048669177,0.011539641325076847,0.0019200315982141542
1782547746.9998503,0.18165252182997682,0.7403323847150751,0.05619845814072767,0.19838263914084492,0.9800553022358576,0.011516172445888238,0.0018195656327626316
1782547748.0000868,0.17347327679203978,0.7436479255293464,0.05612248525653736,0.17365742745644058,0.9847361197044008,0.011634234017383775,0.001586517431331484
