Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link0,-0.00504470138217468,-0.000931713927951557,0.0518277080335083,0,0,0,4.79665805625664,0.0192951447597582,-1.46437481537965E-05,-0.000315955922152215,0.0227975799155337,-0.000109328239173157,0.03195549145641,0,0,0,0,0,0,package://xmatecr7/meshes/base_link0.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://xmatecr7/meshes/base_link0.STL,,XMC7-R850-base-1,base_cordinate0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
yao_link1,-0.00824449462437967,0.00677907790168318,0.119549166943447,0,0,0,4.49994369092824,0.0239110357186472,-0.000405292617503143,0.0036639096848855,0.0237405322528393,-0.0029739544034329,0.0124936799920512,0,0,0,0,0,0,package://xmatecr7/meshes/yao_link1.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://xmatecr7/meshes/yao_link1.STL,,XMC7-R850-yao-1,yao_cordinate1,axis1,yao_joint1,revolute,0,-0.0022607,0.11998,0.018086,0,0,base_link0,0,0,-1,194,3.1416,-3.14,3.14,,,,,,,,
dabi_link2,0.0786062843265071,-0.19256417616674,0.176876856514936,0,0,0,7.29848387531899,0.205611801800359,0.0775071269848743,-0.000738324523226766,0.0473697277543164,0.00180835331166736,0.235745624352104,0,0,0,0,0,0,package://xmatecr7/meshes/dabi_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xmatecr7/meshes/dabi_link2.STL,,XMC7-R850-dabi-1,dabi_cordinate2,axis2,dabi_joint2,revolute,0,9.0442E-05,0.176,-1.5708,0,0.88919,yao_link1,0,0,-1,194,3.1416,-3.14,3.14,,,,,,,,
xiaobiqian_link3,-0.0395539365679626,-0.0119031896200119,0.152786934561626,0,0,0,2.08923559602291,0.00385033197290203,-0.00113605325959543,0.00193369930135884,0.00728440422321935,0.000581790195880701,0.00716655751749185,0,0,0,0,0,0,package://xmatecr7/meshes/xiaobiqian_link3.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://xmatecr7/meshes/xiaobiqian_link3.STL,,XMC7-R850-xiaobiqian-1,xiaobiqian_cordinate4,axis4,xiaobiqian_joint3,revolute,0.18519,-0.45366,0.17,3.1416,0,-2.754,dabi_link2,0,0,-1,102,4.084,-3.14,3.14,,,,,,,,
xiaobihou_link4,-0.0124944984906736,0.00499062948254075,0.281473762413118,0,0,0,2.09862685919212,0.00978126269461928,5.71591559104411E-05,0.00140108553707258,0.00990116658672655,-0.000560295587653278,0.00309546799458424,0,0,0,0,0,0,package://xmatecr7/meshes/xiaobihou_link4.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://xmatecr7/meshes/xiaobihou_link4.STL,,XMC7-R850-xiaobihou-1,xiaobihou_cordinate5,axis5,xiaobihou_joint4,revolute,0,0,0.17,1.5708,0,-1.2785,xiaobiqian_link3,0,0,-1,60,4.1888,-3.14,3.14,,,,,,,,
shouwan_link5,0.00634896055528589,-0.00687483831944452,0.138785545111914,0,0,0,1.71714918039265,0.00296010514755978,0.000492934514846144,0.000502572891118884,0.00289520409149169,-0.000536748465237372,0.00331980698485073,0,0,0,0,0,0,package://xmatecr7/meshes/shouwan_link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xmatecr7/meshes/shouwan_link5.STL,,XMC7-R850-shouwan-1,shouwan_cordinate6,axis6,shouwan_joint5,revolute,0,0,0.36,1.5708,0,-1.9508,xiaobihou_link4,0,0,-1,60,4.1888,-3.14,3.14,,,,,,,,
shuchufalan_link6,-1.32816952427561E-05,0.000163995464025235,-0.028368146671532,0,0,0,0.403264790990843,0.000338471478589331,-2.72738921505438E-07,3.51662370450701E-08,0.000341817028629875,-4.34214762176968E-07,0.000524924288588026,0,0,0,0,0,0,package://xmatecr7/meshes/shuchufalan_link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xmatecr7/meshes/shuchufalan_link6.STL,,XMC7-R850-shuchufalan-1,shuchufalan_fixed_cordinate8,axis8,shuchufalan_joint6,revolute,-0.086813,0.092696,0.15,1.5708,0,-2.389,shouwan_link5,0,0,1,60,4.1888,-3.14,3.14,,,,,,,,
